Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
1,1756914178917,03/09/2025 15:42,1756914178837,1,03/09/2025 16:42,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1756914181095,03/09/2025 15:43,1756914181051,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,1,1,1,Screen 1,Zone1,continue_button,2119,,,,0,,,,,,,,getReady,,,,,1,,,,,,,,,,,,,,,,
3,1756914183508,03/09/2025 15:43,1756914183438,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,1,1,2,Screen 2,Zone1,continue_button,2381,,,,0,,,,,,,,getReady,,,,,1,,,,,,,,,,,,,,,,
4,1756914187503,03/09/2025 15:43,1756914187461,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,2,1,1,Screen 1,Zone1,continue_button,4009,,,,0,,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
5,1756914188521,03/09/2025 15:43,1756914188453,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,2,1,2,individual,Zone4,timelimit_screen,999,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
6,1756914189565,03/09/2025 15:43,1756914189525,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,2,1,3,offer,Zone3,response_button_image,1061,,,redBox.png,1,1,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
7,1756914191576,03/09/2025 15:43,1756914191519,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,2,1,5,feedback_r,Zone7,timelimit_screen,1999,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
8,1756914191711,03/09/2025 15:43,1756914191670,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,2,1,6,end,Zone1,timelimit_screen,152,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
9,1756914192973,03/09/2025 15:43,1756914192932,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,3,1,1,Screen 1,Zone1,continue_button,1249,,,,0,,,,,,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
10,1756914193966,03/09/2025 15:43,1756914193919,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,3,1,2,individual,Zone4,timelimit_screen,999,,,,0,,,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
